Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
icse, icse-content,0.388,22,0.955,206,0.034,0.003,41.733
icse, icse-content,0.389,22,0.977,213,0.034,0.005,42.509
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
hackernews, hn-header,0.646,17,0.900,175,0.024,0.001,39.484
hackernews, hn-header,0.646,17,0.900,175,0.027,0.001,74.337
hackernews, hn-header,0.661,17,0.841,175,0.025,0.001,55.291
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-post,0.324,10,0.970,97,0.012,0.001,18.854
hackernews, hn-post,0.282,10,0.950,95,0.013,0.001,18.541
hackernews, hn-post,0.236,10,0.950,96,0.016,0.001,18.628
hackernews, hn-footer,0.175,11,1.000,128,0.020,0.001,20.971
hackernews, hn-footer,0.163,11,1.000,127,0.017,0.001,25.161
hackernews, hn-footer,0.175,11,1.000,128,0.017,0.001,20.685
hackernews, hn-search,0.244,2,1.000,7,0.001,0.000,6.858
hackernews, hn-search,0.244,2,1.000,7,0.002,0.001,6.775
hackernews, hn-search,0.244,2,1.000,7,0.001,0.001,6.827
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.000,8.799
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.001,8.564
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.000,8.589
ace, ace-option-toggle,0.385,7,1.000,57,0.009,0.001,15.716
ace, ace-option-toggle,0.385,7,1.000,57,0.008,0.001,16.719
ace, ace-option-toggle,0.385,7,1.000,57,0.008,0.000,15.216
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-sidebar-footer,0.250,11,1.000,118,0.017,0.001,21.818
ace, ace-sidebar-footer,0.250,11,1.000,118,0.015,0.001,21.104
ace, ace-sidebar-footer,0.250,11,1.000,118,0.015,0.000,20.829
ace, ace-editor,0.125,5,0.980,46,0.009,0.001,10.568
ace, ace-editor,0.125,5,0.980,46,0.007,0.001,10.541
ace, ace-editor,0.125,5,0.980,46,0.006,0.000,10.633
ace, ace-prompt,0.141,4,1.000,37,0.005,0.001,10.077
ace, ace-prompt,0.141,4,1.000,38,0.004,0.001,9.997
ace, ace-prompt,0.141,4,1.000,38,0.008,0.001,10.081
overview, overview-header,0.066,4,1.000,28,0.004,0.000,9.004
overview, overview-header,0.066,4,1.000,28,0.004,0.000,9.088
overview, overview-header,0.066,4,1.000,28,0.005,0.000,9.037
overview, overview-hero,0.109,10,1.000,92,0.013,0.001,16.487
overview, overview-hero,0.135,10,1.000,93,0.014,0.001,16.536
overview, overview-hero,0.109,10,1.000,92,0.012,0.001,16.626
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-author,-,-,-,-,-,-,-,-
overview, overview-author,-,-,-,-,-,-,-,-
overview, overview-author,-,-,-,-,-,-,-,-
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,7.953
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.257
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.100
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-item,0.345,12,1.000,108,0.017,0.001,19.670
fwt-main, fwt-main-item,0.345,12,1.000,108,0.018,0.002,22.436
fwt-main, fwt-main-item,0.345,12,1.000,108,0.017,0.001,20.455
fwt-main, fwt-main-footer,0.425,19,1.000,164,0.024,0.002,32.014
fwt-main, fwt-main-footer,0.425,19,1.000,162,0.023,0.002,31.371
fwt-main, fwt-main-footer,0.425,19,1.000,165,0.026,0.003,30.236
ieee, ieee-navigation,0.388,23,1.000,175,0.030,0.002,36.586
ieee, ieee-navigation,0.328,23,1.000,190,0.037,0.003,43.148
ieee, ieee-navigation,0.364,23,1.000,181,0.029,0.002,37.619
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.306
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,5.959
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.008
ieee, ieee-authors,0.401,46,0.946,461,0.108,0.002,71.830
ieee, ieee-authors,0.421,46,0.739,466,0.105,0.002,70.018
ieee, ieee-authors,0.501,46,0.576,466,0.128,0.002,69.589
ieee, ieee-articles,0.384,27,1.000,264,0.042,0.001,40.378
ieee, ieee-articles,0.336,27,1.000,271,0.049,0.003,39.490
ieee, ieee-articles,0.360,27,1.000,269,0.044,0.002,38.943
ieee, ieee-news,0.285,36,0.958,366,0.070,0.001,49.109
ieee, ieee-news,0.285,36,0.958,366,0.071,0.001,49.502
ieee, ieee-news,0.285,36,0.958,366,0.075,0.001,49.438
ieee, ieee-conferences,0.426,62,0.871,632,0.208,0.006,91.718
ieee, ieee-conferences,0.442,62,0.847,630,0.191,0.006,91.818
ieee, ieee-conferences,0.435,62,0.839,624,0.185,0.008,92.289
ieee, ieee-footer,0.344,49,1.000,439,0.109,0.007,67.045
ieee, ieee-footer,0.344,49,1.000,434,0.132,0.011,67.729
